track_id,timestamp,longitude,latitude,altitude_m,speed_mps,heading_deg
UAV002,2026-04-22T08:00:00Z,104.0558,30.5685,100,14,35
UAV002,2026-04-22T08:00:08Z,104.0565,30.5692,110,15,38
UAV002,2026-04-22T08:00:17Z,104.0574,30.5701,120,16,42
UAV002,2026-04-22T08:00:27Z,104.0585,30.5712,135,17,45
UAV002,2026-04-22T08:00:38Z,104.0598,30.5725,150,18,50
UAV002,2026-04-22T08:00:50Z,104.0613,30.5738,165,18,55
UAV002,2026-04-22T08:01:02Z,104.0630,30.5750,180,19,60
UAV002,2026-04-22T08:01:15Z,104.0648,30.5760,195,19,68
UAV002,2026-04-22T08:01:28Z,104.0666,30.5766,205,18,80
UAV002,2026-04-22T08:01:40Z,104.0683,30.5768,210,17,95
UAV002,2026-04-22T08:01:52Z,104.0698,30.5765,205,16,115
UAV002,2026-04-22T08:02:04Z,104.0710,30.5758,195,15,135
UAV002,2026-04-22T08:02:16Z,104.0718,30.5748,180,14,155
UAV002,2026-04-22T08:02:29Z,104.0722,30.5735,165,14,175
UAV002,2026-04-22T08:02:42Z,104.0720,30.5722,150,15,200
